row_order,subgroup,category,required_percent,minimum_bout_minutes,n,difference_hours,se_hours,df,lower_95,upper_95,p_value,mean_sedentary_hours,primary_n,primary_days,bmi_missing,policy,primary_days_md5
2,Sex,Male,90,30,4465,0.5072026271310458,0.01141831168901851,32,0.48394428732566375,0.5304609669364279,2.496451504931915e-30,10.336970220987384,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
2,Sex,Male,90,45,4465,0.874759033788551,0.015447183566423774,32,0.8432941505195535,0.9062239170575486,1.1591879918266009e-33,10.704526627644883,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
2,Sex,Male,90,60,4465,1.199508722697584,0.01962726502723277,32,1.1595292921226852,1.2394881532724829,1.0333295771653093e-34,11.029276316553887,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,70,20,4843,-0.2538804029321104,0.005163923159413354,32,-0.26439897019858527,-0.2433618356656355,1.0159884121538192e-31,9.503188933320654,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,70,30,4843,-0.04900003636542049,0.0019126837644462959,32,-0.05289604570071594,-0.04510402703012504,6.816838338409886e-23,9.708069299887372,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,70,45,4843,0.21158718394068143,0.005823604935206141,32,0.19972488886902123,0.22344947901234163,1.3718594920681468e-27,9.96865652019348,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,70,60,4843,0.44024660581885605,0.010194528073828198,32,0.4194810316644353,0.4610121799732768,6.0687852609664504e-30,10.19731594207162,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,80,20,4843,-0.2047081997570791,0.003935312103400692,32,-0.21272416819741807,-0.19669223131674013,1.7064246997294218e-32,9.552361136495676,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,80,30,4843,0,0,32,0,0,NA,9.757069336252785,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,80,45,4843,0.24815183651321895,0.0062468614941011205,32,0.2354273960439074,0.2608762769825305,8.379008964569401e-29,10.005221172766012,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,80,60,4843,0.4653056057420678,0.010893555341043009,32,0.4431161596390694,0.4874950518450662,8.568572829530664e-30,10.222374941994843,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,90,20,4843,0.12031644829731078,0.004956739964061485,32,0.11021989938965271,0.13041299720496885,3.528080148904681e-22,9.877385784550095,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
