Analysis group,Measure,Mean (h/day),SE,95% CI lower,95% CI upper
Pooled,Waking sedentary time,11.3341,0.0441,11.2477,11.4206
Pooled,Waking time,17.0803,0.0527,16.9770,17.1835
Pooled,Sleep/nonwear time,6.9197,0.0527,6.8165,7.0230
Cycle 2011-2012,Waking sedentary time,11.4430,0.0611,11.3233,11.5628
Cycle 2011-2012,Waking time,17.2605,0.0676,17.1280,17.3929
Cycle 2011-2012,Sleep/nonwear time,6.7395,0.0676,6.6071,6.8720
Cycle 2013-2014,Waking sedentary time,11.2296,0.0643,11.1036,11.3556
Cycle 2013-2014,Waking time,16.9073,0.0829,16.7448,17.0698
Cycle 2013-2014,Sleep/nonwear time,7.0927,0.0829,6.9302,7.2552
