Measure,Mean (h/day),SE,95% CI lower,95% CI upper
Waking sedentary time,11.3341,0.0441,11.2477,11.4206
Waking time,17.0803,0.0527,16.9770,17.1835
Sleep/nonwear time,6.9197,0.0527,6.8165,7.0230
