Age group,Male n (%),Male mean (95% CI),Female n (%),Female mean (95% CI)
All ages,"7,142 (48.9%)","11.48 (11.35, 11.62)","7,466 (51.1%)","11.22 (11.12, 11.33)"
<18,"2,346 (16.1%)","10.54 (10.35, 10.73)","2,255 (15.4%)","10.20 (10.03, 10.36)"
18-34,"1,454 (10.0%)","10.88 (10.61, 11.15)","1,515 (10.4%)","10.60 (10.33, 10.87)"
35-44,755 (5.2%),"11.08 (10.68, 11.48)",867 (5.9%),"10.79 (10.52, 11.06)"
45-64,"1,556 (10.7%)","11.93 (11.72, 12.14)","1,717 (11.8%)","11.69 (11.51, 11.86)"
>=65,"1,031 (7.1%)","13.52 (13.33, 13.72)","1,112 (7.6%)","12.89 (12.62, 13.15)"
