Race,Underweight/normal,Overweight,Obesity
All,"10.78 (10.67, 10.90)","11.30 (11.15, 11.45)","12.08 (11.90, 12.26)"
Mexican American,"10.46 (10.22, 10.71)","10.35 (10.07, 10.64)","10.92 (10.68, 11.15)"
NH Asian,"10.99 (10.75, 11.24)","11.54 (11.20, 11.88)","11.80 (11.21, 12.40)"
NH Black,"11.06 (10.82, 11.31)","11.67 (11.28, 12.05)","12.43 (12.06, 12.80)"
NH White,"10.77 (10.61, 10.93)","11.43 (11.23, 11.63)","12.25 (12.01, 12.49)"
Other Hispanic,"10.46 (10.13, 10.78)","10.60 (10.22, 10.98)","11.13 (10.75, 11.50)"
Other/Multi,"11.02 (10.60, 11.44)","11.40 (10.32, 12.48)","13.03 (12.45, 13.61)"
