Full days,2011-2012,2013-2014,Total (2011-14)
1,29 (0.4238),29 (0.3771),58 (0.3991)
2,37 (0.5407),31 (0.4031),68 (0.4679)
3,48 (0.7014),30 (0.3901),78 (0.5367)
4,37 (0.5407),31 (0.4031),68 (0.4679)
5,56 (0.8184),30 (0.3901),86 (0.5917)
6,68 (0.9937),43 (0.5591),111 (0.7637)
7,"6,568 (95.9813)","7,497 (97.4776)","14,065 (96.7731)"
Sample Analyzed (1-7),"6,843 (100.0000)","7,691 (100.0000)","14,534 (100.0000)"
