Paper,Dataset & Population,Method,Estimate & Notes
This study,"NHANES 2011-2014, wrist-worn 80 Hz accelerometer data; 14,534 participants, aged 3+ years.",CHAP wrist model combined with SWaN.,11.35 hours/day. Estimated waking sedentary time. Mean waking time was 17.10 hours/day after sleep exclusion.
Matthews et al. (2008),"NHANES 2003-2004; hip-worn ActiGraph data; 6,329 participants, aged 6+ years.",Intensity threshold of <100 counts/min.,7.7 hours/day. Represented 54.9% of monitored time. Mean monitor wear time was 13.9 hours/day.
Yang et al. (2019),"NHANES 2001-2016; 51,896 children and adolescents.",Self-reported total sitting time from questionnaire.,~6.4 hours/day in adults; 8.2 hours/day in adolescents. Sitting time increased in both groups from 2001 onward.
Ussery et al. (2018),"NHANES 2015-2016; 5,923 U.S. adults aged 18+ years.",Self-reported sitting time on a typical day.,~6.4 hours/day. Excludes sleeping time; 25.7% of adults reported sitting for more than 8 hours per day.
