"","ID","Hour_1","Hour_2","Hour_3","Hour_4","Hour_5","Hour_6","Hour_7","Hour_8","Hour_9","Hour_10","Hour_11","Hour_12","Hour_13","Hour_14","Hour_15","Hour_16","Hour_17","Hour_18","Hour_19","Hour_20","Hour_21","Hour_22","Hour_23","Hour_24"
"1",69598,0.642857142857143,0.770628571428571,0.771028571428571,0.792471428571429,0.755157142857143,0.909142857142857,0.940471428571429,0.827371428571429,0.673428571428571,0.717071428571429,0.677385714285714,0.5631,0.637685714285714,0.542457142857143,0.711114285714286,0.588885714285714,0.5111,0.507142857142857,0.473,0.518657142857143,0.483342857142857,0.4873,0.470642857142857,0.485257142857143
"2",69599,0.522628571428571,0.415071428571429,0.4619,0.710714285714286,0.840471428571429,0.829371428571429,0.856357142857143,0.864671428571429,0.846457142857143,0.495242857142857,0.256342857142857,0.172228571428571,0.155557142857143,0.232142857142857,0.220628571428571,0.189657142857143,0.117071428571429,0.137714285714286,0.193257142857143,0.3381,0.244457142857143,0.288885714285714,0.3476,0.375757142857143
"3",69600,0.882942857142857,0.918242857142857,0.861514285714286,0.920242857142857,0.839285714285714,0.837314285714286,0.631742857142857,0.401585714285714,0.348814285714286,0.507942857142857,0.289671428571429,0.277371428571429,0.3742,0.502771428571429,0.459128571428571,0.482528571428571,0.445642857142857,0.502,0.495628571428571,0.5143,0.529357142857143,0.566285714285714,0.634528571428571,0.692642857142857
"4",69601,0.719828571428571,0.848428571428571,0.804771428571429,0.929357142857143,0.8361,0.840085714285714,0.885314285714286,0.518242857142857,0.453971428571429,0.498014285714286,0.365071428571429,0.375785714285714,0.271842857142857,0.228957142857143,0.3492,0.2004,0.130157142857143,0.223814285714286,0.227785714285714,0.261528571428571,0.3004,0.3238,0.269428571428571,0.464057142857143
"5",69603,0.420242857142857,0.428171428571429,0.419042857142857,0.427385714285714,0.428171428571429,0.353571428571429,0.285714285714286,0.285714285714286,0.285714285714286,0.302385714285714,0.290085714285714,0.296428571428571,0.285714285714286,0.296428571428571,0.285714285714286,0.285714285714286,0.285714285714286,0.284128571428571,0.295228571428571,0.285714285714286,0.205157142857143,0.222228571428571,0.254757142857143,0.225542857142857
"6",69605,1,1,1,1,1,1,0.944842857142857,0.628585714285714,0.609914285714286,0.678571428571429,0.612714285714286,0.590871428571429,0.485714285714286,0.7746,0.770214285714286,0.6361,0.743242857142857,0.631757142857143,0.682542857142857,0.7004,0.960714285714286,0.957142857142857,0.9746,1
"7",69606,0.820228571428571,0.882928571428571,0.874614285714286,0.812685714285714,0.877,0.876585714285714,0.957942857142857,0.945628571428571,0.755557142857143,0.521028571428571,0.278185714285714,0.109528571428571,0.180957142857143,0.152785714285714,0.186914285714286,0.248414285714286,0.184528571428571,0.113871428571429,0.171428571428571,0.184928571428571,0.182928571428571,0.218257142857143,0.257928571428571,0.388728571428571
"8",69607,0.580157142857143,0.667871428571429,0.611885714285714,0.694042857142857,0.564285714285714,0.568242857142857,0.616671428571429,0.355957142857143,0.259514285714286,0.336514285714286,0.246428571428571,0.215071428571429,0.242457142857143,0.3373,0.354757142857143,0.494042857142857,0.468642857142857,0.369442857142857,0.328171428571429,0.324214285714286,0.405542857142857,0.403171428571429,0.362685714285714,0.426857142857143
"9",69608,0.908742857142857,0.869028571428571,0.930957142857143,0.858328571428571,0.679357142857143,0.428571428571429,0.399214285714286,0.3369,0.4405,0.501185714285714,0.389271428571429,0.321828571428571,0.273,0.1897,0.321428571428571,0.359914285714286,0.295242857142857,0.331742857142857,0.506757142857143,0.632142857142857,0.827385714285714,0.922614285714286,0.934528571428571,0.829428571428571
"10",69611,0.802785714285714,0.819842857142857,0.863485714285714,0.968242857142857,0.949214285714286,0.942471428571429,0.695228571428571,0.655142857142857,0.721428571428571,0.792457142857143,0.723028571428571,0.553585714285714,0.528971428571429,0.632528571428571,0.469457142857143,0.363485714285714,0.363471428571429,0.378957142857143,0.404371428571429,0.593657142857143,0.657142857142857,0.568271428571429,0.569042857142857,0.654542857142857
