Age group (years),Male N (%),Male Mean (95% CI),Female N (%),Female Mean (95% CI)
All ages,"7,099 (48.8%)","11.47 (11.33, 11.60)","7,435 (51.2%)","11.21 (11.10, 11.32)"
<18,"2,331 (16.0%)","10.53 (10.35, 10.72)","2,244 (15.4%)","10.19 (10.02, 10.35)"
18-34,"1,446 (9.9%)","10.86 (10.60, 11.13)","1,506 (10.4%)","10.59 (10.32, 10.86)"
35-44,751 (5.2%),"11.07 (10.68, 11.47)",865 (6.0%),"10.78 (10.51, 11.06)"
45-64,"1,548 (10.7%)","11.92 (11.70, 12.13)","1,711 (11.8%)","11.67 (11.49, 11.84)"
>=65,"1,023 (7.0%)","13.49 (13.29, 13.69)","1,109 (7.6%)","12.87 (12.61, 13.14)"
