Race,Underweight/normal,Overweight,Obesity
All,"10.77 (10.66, 10.89)","11.29 (11.14, 11.43)","12.09 (11.92, 12.27)"
Mexican American,"10.45 (10.20, 10.69)","10.35 (10.06, 10.63)","10.97 (10.72, 11.22)"
NH Asian,"10.98 (10.73, 11.23)","11.52 (11.18, 11.86)","11.83 (11.14, 12.53)"
NH Black,"11.07 (10.82, 11.31)","11.65 (11.28, 12.03)","12.41 (12.05, 12.77)"
NH White,"10.76 (10.59, 10.93)","11.41 (11.21, 11.61)","12.27 (12.03, 12.51)"
Other Hispanic,"10.47 (10.15, 10.80)","10.59 (10.22, 10.97)","11.11 (10.74, 11.49)"
Other/Multi,"11.01 (10.59, 11.43)","11.37 (10.30, 12.45)","12.97 (12.39, 13.55)"
