Variable,Analytic sample N,Missing n,Missing %,Available n
Age group,14534,0,0.0000,14534
BMI category,14534,134,0.9220,14400
Education,14534,0,0.0000,14534
Gender,14534,0,0.0000,14534
Marital status,14534,0,0.0000,14534
Masked PSU,14534,0,0.0000,14534
Masked stratum,14534,0,0.0000,14534
Race/ethnicity,14534,0,0.0000,14534
Recalibrated examination weight,14534,0,0.0000,14534
