cutoff,sleep_mean,sleep_se,sed_mean,sed_se
50,11.2862,0.0664,7.2707,0.0464
55,10.826,0.062,7.6606,0.0437
60,10.4054,0.0576,8.0246,0.0416
65,10.0119,0.0541,8.3727,0.0403
70,9.6362,0.0523,8.7125,0.0402
75,9.262,0.0493,9.0575,0.0393
80,8.852,0.0479,9.4439,0.0384
85,8.3311,0.0467,9.9459,0.0389
90,7.4224,0.0494,10.8401,0.0422
90.84,6.9095,0.0525,11.3492,0.0444
95,5.2505,0.0603,13.003,0.0522
100,2.1633,0.0634,16.0879,0.0563
