subgroup,category,n,measure,mean_hours,lower_95,upper_95
Age_group,>=65,2088,est_sedentary_hours,10.095025444936322,9.968661119733367,10.221389770139277
Age_group,>=65,2088,est_sleep_hours,8.665009917297422,8.562720978494651,8.767298856100192
Age_group,>=65,2088,est_waking_hours,15.334990082702554,15.232701143899783,15.437279021505324
Age_group,>=65,2088,est_nonsedentary_hours,5.23996463776622,5.114578992644168,5.365350282888272
Age_group,18-34,2643,est_sedentary_hours,9.785313474335478,9.662673112213605,9.90795383645735
Age_group,18-34,2643,est_sleep_hours,8.018572459120492,7.90153934332334,8.135605574917644
Age_group,18-34,2643,est_waking_hours,15.981427540879537,15.864394425082384,16.09846065667669
Age_group,18-34,2643,est_nonsedentary_hours,6.196114066544055,6.05357823292306,6.33864990016505
Age_group,35-44,1475,est_sedentary_hours,9.5841225232397,9.42224520910624,9.745999837373159
Age_group,35-44,1475,est_sleep_hours,7.673404668738748,7.598852251133446,7.747957086344049
Age_group,35-44,1475,est_waking_hours,16.32659533126125,16.25204291365595,16.40114774886655
Age_group,35-44,1475,est_nonsedentary_hours,6.7424728080215415,6.573924335753545,6.911021280289538
Age_group,45-64,3102,est_sedentary_hours,9.734864976802625,9.612105086478278,9.85762486712697
Age_group,45-64,3102,est_sleep_hours,7.8716066130311315,7.739820672899457,8.003392553162806
Age_group,45-64,3102,est_waking_hours,16.128393386968895,15.99660744683722,16.26017932710057
Age_group,45-64,3102,est_nonsedentary_hours,6.393528410166217,6.273894412359695,6.5131624079727395
Gender,Female,4843,est_sedentary_hours,9.757069336252785,9.661436299955053,9.852702372550517
Gender,Female,4843,est_sleep_hours,8.132232459604289,8.053291438794576,8.211173480414002
Gender,Female,4843,est_waking_hours,15.867767540395777,15.788826519586065,15.946708561205488
Gender,Female,4843,est_nonsedentary_hours,6.110698204143008,6.022987913920703,6.198408494365312
Gender,Male,4465,est_sedentary_hours,9.829767593856317,9.7419045424234465,9.917630645289188
Gender,Male,4465,est_sleep_hours,7.9171430758421115,7.8039303720014885,8.030355779682735
Gender,Male,4465,est_waking_hours,16.082856924157937,15.969644220317313,16.19606962799856
Gender,Male,4465,est_nonsedentary_hours,6.253089330301583,6.139059419582785,6.36711924102038
Race,Mexican American,1135,est_sedentary_hours,8.97803228273713,8.8102468193209,9.14581774615336
Race,Mexican American,1135,est_sleep_hours,7.736512978791645,7.591322850579508,7.881703107003783
Race,Mexican American,1135,est_waking_hours,16.263487021208313,16.118296892996174,16.408677149420452
Race,Mexican American,1135,est_nonsedentary_hours,7.285454738471181,7.125006695696905,7.445902781245456
Race,NH Asian,1072,est_sedentary_hours,9.848427445688117,9.660841986321493,10.03601290505474
Race,NH Asian,1072,est_sleep_hours,7.713813668543834,7.564776132448677,7.86285120463899
Race,NH Asian,1072,est_waking_hours,16.286186331456168,16.13714879536101,16.435223867551326
Race,NH Asian,1072,est_nonsedentary_hours,6.437758885768063,6.241227938229624,6.634289833306502
Race,NH Black,2217,est_sedentary_hours,10.276886313932597,10.132997935797887,10.420774692067306
Race,NH Black,2217,est_sleep_hours,7.596890223975918,7.496847800068263,7.696932647883573
Race,NH Black,2217,est_waking_hours,16.40310977602409,16.303067352116432,16.503152199931744
Race,NH Black,2217,est_nonsedentary_hours,6.126223462091504,5.991550219420357,6.260896704762652
Race,NH White,3720,est_sedentary_hours,9.842370539429275,9.754741755276552,9.929999323581999
Race,NH White,3720,est_sleep_hours,8.204586526236206,8.107549751638636,8.301623300833775
Race,NH White,3720,est_waking_hours,15.795413473763825,15.698376699166255,15.892450248361394
Race,NH White,3720,est_nonsedentary_hours,5.953042934334543,5.864403961749816,6.04168190691927
Race,Other Hispanic,892,est_sedentary_hours,9.21065045321966,9.041479451623507,9.379821454815813
Race,Other Hispanic,892,est_sleep_hours,7.730950176645679,7.617015411390607,7.844884941900752
Race,Other Hispanic,892,est_waking_hours,16.269049823354308,16.155115058099238,16.38298458860938
Race,Other Hispanic,892,est_nonsedentary_hours,7.058399370134652,6.836048907964238,7.280749832305067
Race,Other/Multi,272,est_sedentary_hours,10.283022769675677,9.916002595607354,10.650042943744
Race,Other/Multi,272,est_sleep_hours,7.7007351145843215,7.444488589087516,7.956981640081127
Race,Other/Multi,272,est_waking_hours,16.29926488541569,16.043018359918886,16.55551141091249
Race,Other/Multi,272,est_nonsedentary_hours,6.01624211574002,5.690582789522831,6.3419014419572095
BMI_cat_crib,normal weight,2713,est_sedentary_hours,9.459231885718756,9.36119236699279,9.557271404444721
BMI_cat_crib,normal weight,2713,est_sleep_hours,8.024786867905329,7.91977343509435,8.129800300716308
BMI_cat_crib,normal weight,2713,est_waking_hours,15.975213132094689,15.870199699283711,16.08022656490567
BMI_cat_crib,normal weight,2713,est_nonsedentary_hours,6.5159812463759215,6.386819841180104,6.645142651571739
BMI_cat_crib,obesity,3407,est_sedentary_hours,10.236683390472857,10.138650622670752,10.334716158274961
BMI_cat_crib,obesity,3407,est_sleep_hours,7.973544930976001,7.877689093499588,8.069400768452413
BMI_cat_crib,obesity,3407,est_waking_hours,16.026455069023935,15.930599231547523,16.12231090650035
BMI_cat_crib,obesity,3407,est_nonsedentary_hours,5.789771678551155,5.690188309537055,5.889355047565255
BMI_cat_crib,overweight,2899,est_sedentary_hours,9.53548947390555,9.416520952957844,9.654457994853255
BMI_cat_crib,overweight,2899,est_sleep_hours,8.043153942025944,7.962268032404258,8.12403985164763
BMI_cat_crib,overweight,2899,est_waking_hours,15.956846057974005,15.875960148352318,16.037731967595693
BMI_cat_crib,overweight,2899,est_nonsedentary_hours,6.421356584068509,6.299300581958421,6.543412586178598
BMI_cat_crib,underweight,187,est_sedentary_hours,9.75146248318832,9.242696805538511,10.260228160838128
BMI_cat_crib,underweight,187,est_sleep_hours,8.570425889098502,8.21234715425899,8.928504623938013
BMI_cat_crib,underweight,187,est_waking_hours,15.429574110901518,15.071495376062007,15.787652845741029
BMI_cat_crib,underweight,187,est_nonsedentary_hours,5.6781116277131956,5.061570336736747,6.2946529186896445
Education,<9th,768,est_sedentary_hours,8.89446096008951,8.677396584188028,9.111525335990994
Education,<9th,768,est_sleep_hours,8.169284619254306,7.967061102015207,8.371508136493405
Education,<9th,768,est_waking_hours,15.830715380745728,15.62849186350663,16.032938897984828
Education,<9th,768,est_nonsedentary_hours,6.936254420656204,6.7092919923406695,7.1632168489717385
Education,9-11th/12ND,1379,est_sedentary_hours,9.458327271656183,9.299576199399894,9.617078343912471
Education,9-11th/12ND,1379,est_sleep_hours,7.971759507411127,7.8096290445376795,8.133889970284574
Education,9-11th/12ND,1379,est_waking_hours,16.028240492588903,15.866110029715458,16.19037095546235
Education,9-11th/12ND,1379,est_nonsedentary_hours,6.569913220932729,6.396184511165331,6.743641930700126
Education,College+,2221,est_sedentary_hours,10.155557917602053,10.023976454083947,10.28713938112016
Education,College+,2221,est_sleep_hours,7.925474304144404,7.82419153739035,8.026757070898459
Education,College+,2221,est_waking_hours,16.074525695855627,15.973242929101572,16.17580846260968
Education,College+,2221,est_nonsedentary_hours,5.918967778253565,5.828602683914073,6.009332872593057
Education,HS grad/GED,2112,est_sedentary_hours,9.456027354255232,9.294931135450236,9.617123573060228
Education,HS grad/GED,2112,est_sleep_hours,8.107754210201513,7.933738069088306,8.281770351314721
Education,HS grad/GED,2112,est_waking_hours,15.892245789798487,15.718229648685279,16.066261930911693
Education,HS grad/GED,2112,est_nonsedentary_hours,6.436218435543264,6.26212949643116,6.610307374655368
Education,Refused/DK,8,est_sedentary_hours,11.178207972405456,8.732677063913087,13.623738880897825
Education,Refused/DK,8,est_sleep_hours,8.74653559233804,6.729283254495483,10.763787930180596
Education,Refused/DK,8,est_waking_hours,15.253464407661959,13.236212069819402,17.270716745504515
Education,Refused/DK,8,est_nonsedentary_hours,4.075256435256502,1.5841780647493149,6.56633480576369
Education,Some college/AA,2820,est_sedentary_hours,9.940498389476051,9.833265709892107,10.047731069059996
Education,Some college/AA,2820,est_sleep_hours,8.070642431199632,7.966927635407129,8.174357226992134
Education,Some college/AA,2820,est_waking_hours,15.929357568800414,15.825642773007912,16.03307236459292
Education,Some college/AA,2820,est_nonsedentary_hours,5.98885917932433,5.878567858826994,6.099150499821667
Marital_status,Divorced,996,est_sedentary_hours,10.046707347660394,9.864660210524582,10.228754484796207
Marital_status,Divorced,996,est_sleep_hours,7.996575356486742,7.851244333392804,8.14190637958068
Marital_status,Divorced,996,est_waking_hours,16.00342464351324,15.858093620419304,16.14875566660718
Marital_status,Divorced,996,est_nonsedentary_hours,5.956717295852861,5.794587453431671,6.118847138274051
Marital_status,Living with partner,639,est_sedentary_hours,9.470722604554608,9.278244326749874,9.663200882359341
Marital_status,Living with partner,639,est_sleep_hours,7.781322171765267,7.608695737226854,7.953948606303681
Marital_status,Living with partner,639,est_waking_hours,16.218677828234725,16.04605139369631,16.39130426277314
Marital_status,Living with partner,639,est_nonsedentary_hours,6.747955223680139,6.52747327023702,6.968437177123257
Marital_status,Married,4444,est_sedentary_hours,9.660781493262311,9.57064517834211,9.750917808182512
Marital_status,Married,4444,est_sleep_hours,8.00971497689557,7.921035980886646,8.098393972904493
Marital_status,Married,4444,est_waking_hours,15.990285023104542,15.90160602709562,16.078964019113467
Marital_status,Married,4444,est_nonsedentary_hours,6.329503529842259,6.233069011650538,6.42593804803398
Marital_status,Never married,1736,est_sedentary_hours,10.002743510261137,9.854144778466443,10.151342242055831
Marital_status,Never married,1736,est_sleep_hours,7.941749793637202,7.840581481504399,8.042918105770005
Marital_status,Never married,1736,est_waking_hours,16.058250206362796,15.957081894229994,16.1594185184956
Marital_status,Never married,1736,est_nonsedentary_hours,6.055506696101664,5.922324962064446,6.188688430138882
Marital_status,Not applicable,484,est_sedentary_hours,9.855601763334208,9.603511691374093,10.107691835294323
Marital_status,Not applicable,484,est_sleep_hours,8.343807844022335,8.008489832925147,8.679125855119523
